pool,dt_seconds,w_ticks,n_windows,sigma_median,sigma_min,sigma_max,pin_empirical_median,pin_empirical_p10,pin_empirical_p90,pin_gaussian_median,delta_median,delta_p10,delta_p90,frac_windows_emp_exceeds_gauss
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,300,500,24,9.740072e-05,6.406796e-05,2.559421e-04,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,300,1000,24,9.740072e-05,6.406796e-05,2.559421e-04,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,600,200,24,9.740072e-05,6.406796e-05,2.559421e-04,0.999778,0.994984,1.000000,0.999997,-0.000015,-0.002494,0.000088,0.458333
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,600,500,24,9.740072e-05,6.406796e-05,2.559421e-04,1.000000,0.999907,1.000000,1.000000,0.000000,-0.000093,0.000000,0.083333
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,600,1000,24,9.740072e-05,6.406796e-05,2.559421e-04,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1800,200,24,9.740072e-05,6.406796e-05,2.559421e-04,0.996464,0.973519,0.999994,0.996859,0.000470,-0.002916,0.047631,0.625000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1800,500,24,9.740072e-05,6.406796e-05,2.559421e-04,1.000000,0.998159,1.000000,1.000000,0.000000,-0.001752,0.000000,0.541667
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1800,1000,24,9.740072e-05,6.406796e-05,2.559421e-04,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.208333
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3600,200,24,9.740072e-05,6.406796e-05,2.559421e-04,0.988154,0.935773,0.998324,0.973818,0.015793,-0.000316,0.132037,0.875000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3600,500,24,9.740072e-05,6.406796e-05,2.559421e-04,1.000000,0.988057,1.000000,0.999998,0.000000,-0.004173,0.000039,0.791667
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,3600,1000,24,9.740072e-05,6.406796e-05,2.559421e-04,1.000000,0.999973,1.000000,1.000000,0.000000,-0.000006,0.000000,0.250000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,7200,200,24,9.740072e-05,6.406796e-05,2.559421e-04,0.962852,0.860752,0.986461,0.906693,0.049227,0.010532,0.202764,0.958333
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,7200,500,24,9.740072e-05,6.406796e-05,2.559421e-04,1.000000,0.975510,1.000000,0.999626,0.000122,-0.001661,0.011336,0.875000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,7200,1000,24,9.740072e-05,6.406796e-05,2.559421e-04,1.000000,0.999260,1.000000,1.000000,0.000000,0.000000,0.000019,0.708333
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,21600,200,24,9.740072e-05,6.406796e-05,2.559421e-04,0.838496,0.649100,0.953005,0.715300,0.133849,0.032192,0.264868,0.958333
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,21600,500,24,9.740072e-05,6.406796e-05,2.559421e-04,0.990678,0.930444,1.000000,0.976225,0.013331,-0.003592,0.076535,0.833333
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,21600,1000,24,9.740072e-05,6.406796e-05,2.559421e-04,1.000000,0.996174,1.000000,0.999941,0.000045,0.000000,0.006319,0.958333
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,43200,200,24,9.740072e-05,6.406796e-05,2.559421e-04,0.717699,0.494197,0.912047,0.575954,0.155130,-0.000069,0.284786,0.875000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,43200,500,24,9.740072e-05,6.406796e-05,2.559421e-04,0.945036,0.848293,0.999992,0.912038,0.062051,-0.013333,0.134270,0.875000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,43200,1000,24,9.740072e-05,6.406796e-05,2.559421e-04,1.000000,0.996550,1.000000,0.997334,0.002296,0.000038,0.040657,0.958333
