pool,window_id,window_start_ts,window_seconds,n_events,sigma_per_sqrt_s,dt_seconds,w_ticks,n_samples,pin_empirical_mean,pin_empirical_sd,pin_gaussian,delta_empirical_minus_gaussian
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,1,1735872556,86400,14201,6.406796e-05,43200,1000,1500,1.000000,0.000000,0.999981,0.000019
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,2,200,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,2,500,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,2,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,10,200,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,10,500,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,10,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,30,200,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,30,500,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,30,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,60,200,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,60,500,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,60,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,120,200,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,120,500,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,120,1000,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,300,200,1500,1.000000,0.000000,1.000000,0.000000
0xb2cc224c1c9fee385f8ad6a55b4d94e92359dc59,2,1736955756,86400,16493,9.879415e-05,300,500,1500,1.000000,0.000000,1.000000,0.000000
